Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,17.97,37.54,7.52,16.02,23.50,47.70,18.42,0.62,39.02,0.40,1.15,NA,NA,0.16,0.39,NA,97.04,2.42,249.92,NA,NA,163.58,NA,-0.34
2022-01-02 00:00:00,16.81,40.18,7.42,16.00,23.42,47.07,39.34,0.63,35.19,0.38,0.89,NA,NA,0.17,0.43,NA,91.12,1.90,248.26,NA,NA,169.16,NA,-0.38
2022-01-03 00:00:00,29.37,63.47,7.45,15.99,22.42,45.81,35.75,0.73,39.35,0.62,1.15,NA,NA,0.23,0.65,NA,83.66,1.62,245.59,NA,NA,187.59,NA,-0.40
2022-01-04 00:00:00,33.76,74.90,6.90,15.87,22.77,43.35,16.30,0.68,44.24,0.63,1.11,NA,NA,0.28,0.69,NA,76.77,1.69,247.41,NA,NA,175.32,NA,-0.39
2022-01-05 00:00:00,26.24,59.78,7.69,15.73,23.42,47.28,22.25,0.66,27.13,0.77,1.78,NA,NA,0.54,1.15,NA,87.42,1.38,232.05,NA,NA,188.07,NA,-0.41
2022-01-06 00:00:00,24.97,63.50,7.44,15.52,22.95,45.46,39.82,0.68,14.41,0.76,1.83,NA,NA,0.55,1.12,NA,89.93,1.35,242.52,NA,NA,185.99,NA,-0.41
2022-01-07 00:00:00,17.35,48.44,8.40,16.42,23.11,53.43,21.47,0.91,10.89,0.67,2.27,NA,NA,0.56,1.16,NA,89.13,1.41,247.22,NA,NA,156.46,NA,-0.41
2022-01-08 00:00:00,13.09,35.73,7.06,19.53,21.46,44.15,3.83,0.59,9.19,0.51,1.80,NA,NA,0.32,0.86,NA,87.10,1.34,257.99,NA,NA,33.68,NA,-0.41
2022-01-09 00:00:00,20.89,37.54,7.11,15.77,22.88,43.98,3.07,0.62,9.07,0.69,1.47,NA,NA,0.27,0.68,NA,87.51,1.22,240.30,NA,NA,193.48,NA,-0.42
2022-01-10 00:00:00,23.72,41.85,7.85,18.30,22.60,47.08,15.37,0.65,10.66,1.05,2.60,NA,NA,0.33,1.34,NA,87.33,0.76,280.66,NA,NA,182.36,NA,-0.45
2022-01-11 00:00:00,12.00,25.40,7.22,15.79,23.01,45.75,8.55,0.64,4.63,0.45,1.15,NA,NA,0.37,0.86,NA,88.18,1.13,269.18,NA,NA,199.12,NA,-0.42
2022-01-12 00:00:00,14.32,24.97,8.94,15.63,23.62,52.62,8.94,0.71,9.06,0.98,3.92,NA,NA,0.37,1.52,NA,84.34,0.85,275.28,NA,NA,223.92,NA,-0.44
2022-01-13 00:00:00,17.39,38.94,7.12,15.72,22.78,44.10,10.41,0.77,12.76,9.24,3.92,NA,NA,0.43,1.62,NA,84.81,0.95,266.33,NA,NA,209.92,NA,-0.43
2022-01-14 00:00:00,7.37,21.78,7.43,15.63,22.88,44.69,10.41,0.75,13.37,1.31,3.28,NA,NA,0.27,1.73,NA,84.61,0.76,244.27,NA,NA,212.71,NA,-0.45
2022-01-15 00:00:00,10.43,23.30,7.57,16.16,22.10,46.05,7.94,0.70,5.12,1.60,2.53,NA,NA,0.32,1.18,NA,89.33,1.04,218.87,NA,NA,141.74,NA,-0.43
2022-01-16 00:00:00,8.75,20.78,7.68,15.87,23.55,46.87,0.17,0.77,11.55,0.50,0.79,NA,NA,0.17,0.45,NA,85.95,1.76,251.53,NA,NA,199.84,NA,-0.38
2022-01-17 00:00:00,12.50,23.66,7.40,15.83,23.23,46.24,1.48,0.61,16.11,0.87,2.78,NA,NA,0.45,1.38,NA,95.88,1.09,213.89,NA,NA,75.43,NA,-0.42
